cn,scope,threshold_delta_s,operator,criterion,is_default_threshold,n_total,n_satisfying,fraction_satisfying,percent_satisfying
4,CN4,0.00,<,S_second - S_best < threshold_delta_s,False,16682,0,0.0,0.0
4,CN4,0.01,<,S_second - S_best < threshold_delta_s,False,16682,0,0.0,0.0
4,CN4,0.02,<,S_second - S_best < threshold_delta_s,False,16682,0,0.0,0.0
4,CN4,0.03,<,S_second - S_best < threshold_delta_s,False,16682,1,5.994485073732166e-05,0.005994485073732166
4,CN4,0.04,<,S_second - S_best < threshold_delta_s,False,16682,1,5.994485073732166e-05,0.005994485073732166
4,CN4,0.05,<,S_second - S_best < threshold_delta_s,False,16682,1,5.994485073732166e-05,0.005994485073732166
4,CN4,0.06,<,S_second - S_best < threshold_delta_s,False,16682,1,5.994485073732166e-05,0.005994485073732166
4,CN4,0.07,<,S_second - S_best < threshold_delta_s,False,16682,2,0.00011988970147464332,0.011988970147464332
4,CN4,0.08,<,S_second - S_best < threshold_delta_s,False,16682,2,0.00011988970147464332,0.011988970147464332
4,CN4,0.09,<,S_second - S_best < threshold_delta_s,False,16682,2,0.00011988970147464332,0.011988970147464332
4,CN4,0.10,<,S_second - S_best < threshold_delta_s,False,16682,2,0.00011988970147464332,0.011988970147464332
4,CN4,0.11,<,S_second - S_best < threshold_delta_s,False,16682,2,0.00011988970147464332,0.011988970147464332
4,CN4,0.12,<,S_second - S_best < threshold_delta_s,False,16682,2,0.00011988970147464332,0.011988970147464332
4,CN4,0.13,<,S_second - S_best < threshold_delta_s,False,16682,4,0.00023977940294928664,0.023977940294928664
4,CN4,0.14,<,S_second - S_best < threshold_delta_s,False,16682,5,0.0002997242536866083,0.02997242536866083
4,CN4,0.15,<,S_second - S_best < threshold_delta_s,False,16682,5,0.0002997242536866083,0.02997242536866083
4,CN4,0.16,<,S_second - S_best < threshold_delta_s,False,16682,6,0.00035966910442392997,0.035966910442392995
4,CN4,0.17,<,S_second - S_best < threshold_delta_s,False,16682,7,0.00041961395516125163,0.04196139551612516
4,CN4,0.18,<,S_second - S_best < threshold_delta_s,False,16682,7,0.00041961395516125163,0.04196139551612516
4,CN4,0.19,<,S_second - S_best < threshold_delta_s,False,16682,7,0.00041961395516125163,0.04196139551612516
4,CN4,0.20,<,S_second - S_best < threshold_delta_s,False,16682,8,0.0004795588058985733,0.04795588058985733
4,CN4,0.21,<,S_second - S_best < threshold_delta_s,False,16682,9,0.000539503656635895,0.053950365663589496
4,CN4,0.22,<,S_second - S_best < threshold_delta_s,False,16682,9,0.000539503656635895,0.053950365663589496
4,CN4,0.23,<,S_second - S_best < threshold_delta_s,False,16682,9,0.000539503656635895,0.053950365663589496
4,CN4,0.24,<,S_second - S_best < threshold_delta_s,False,16682,11,0.0006593933581105383,0.06593933581105384
4,CN4,0.25,<,S_second - S_best < threshold_delta_s,False,16682,11,0.0006593933581105383,0.06593933581105384
4,CN4,0.26,<,S_second - S_best < threshold_delta_s,False,16682,11,0.0006593933581105383,0.06593933581105384
4,CN4,0.27,<,S_second - S_best < threshold_delta_s,False,16682,12,0.0007193382088478599,0.07193382088478599
4,CN4,0.28,<,S_second - S_best < threshold_delta_s,False,16682,13,0.0007792830595851816,0.07792830595851816
4,CN4,0.29,<,S_second - S_best < threshold_delta_s,False,16682,14,0.0008392279103225033,0.08392279103225032
4,CN4,0.30,<,S_second - S_best < threshold_delta_s,False,16682,14,0.0008392279103225033,0.08392279103225032
4,CN4,0.31,<,S_second - S_best < threshold_delta_s,False,16682,14,0.0008392279103225033,0.08392279103225032
4,CN4,0.32,<,S_second - S_best < threshold_delta_s,False,16682,17,0.0010190624625344682,0.10190624625344682
4,CN4,0.33,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.34,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.35,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.36,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.37,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.38,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.39,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.40,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.41,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.42,<,S_second - S_best < threshold_delta_s,False,16682,18,0.00107900731327179,0.10790073132717899
4,CN4,0.43,<,S_second - S_best < threshold_delta_s,False,16682,19,0.0011389521640091116,0.11389521640091116
4,CN4,0.44,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.45,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.46,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.47,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.48,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.49,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.50,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.51,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.52,<,S_second - S_best < threshold_delta_s,False,16682,20,0.0011988970147464332,0.11988970147464333
4,CN4,0.53,<,S_second - S_best < threshold_delta_s,False,16682,21,0.0012588418654837549,0.1258841865483755
4,CN4,0.54,<,S_second - S_best < threshold_delta_s,False,16682,21,0.0012588418654837549,0.1258841865483755
4,CN4,0.55,<,S_second - S_best < threshold_delta_s,False,16682,21,0.0012588418654837549,0.1258841865483755
4,CN4,0.56,<,S_second - S_best < threshold_delta_s,False,16682,22,0.0013187867162210765,0.13187867162210767
4,CN4,0.57,<,S_second - S_best < threshold_delta_s,False,16682,23,0.0013787315669583982,0.13787315669583983
4,CN4,0.58,<,S_second - S_best < threshold_delta_s,False,16682,24,0.0014386764176957199,0.14386764176957198
4,CN4,0.59,<,S_second - S_best < threshold_delta_s,False,16682,24,0.0014386764176957199,0.14386764176957198
4,CN4,0.60,<,S_second - S_best < threshold_delta_s,False,16682,24,0.0014386764176957199,0.14386764176957198
4,CN4,0.61,<,S_second - S_best < threshold_delta_s,False,16682,24,0.0014386764176957199,0.14386764176957198
4,CN4,0.62,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.63,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.64,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.65,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.66,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.67,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.68,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.69,<,S_second - S_best < threshold_delta_s,False,16682,26,0.0015585661191703632,0.15585661191703631
4,CN4,0.70,<,S_second - S_best < threshold_delta_s,False,16682,27,0.0016185109699076849,0.1618510969907685
4,CN4,0.71,<,S_second - S_best < threshold_delta_s,False,16682,27,0.0016185109699076849,0.1618510969907685
4,CN4,0.72,<,S_second - S_best < threshold_delta_s,False,16682,28,0.0016784558206450065,0.16784558206450065
4,CN4,0.73,<,S_second - S_best < threshold_delta_s,False,16682,28,0.0016784558206450065,0.16784558206450065
4,CN4,0.74,<,S_second - S_best < threshold_delta_s,False,16682,28,0.0016784558206450065,0.16784558206450065
4,CN4,0.75,<,S_second - S_best < threshold_delta_s,False,16682,29,0.0017384006713823282,0.17384006713823283
4,CN4,0.76,<,S_second - S_best < threshold_delta_s,False,16682,29,0.0017384006713823282,0.17384006713823283
4,CN4,0.77,<,S_second - S_best < threshold_delta_s,False,16682,29,0.0017384006713823282,0.17384006713823283
4,CN4,0.78,<,S_second - S_best < threshold_delta_s,False,16682,29,0.0017384006713823282,0.17384006713823283
4,CN4,0.79,<,S_second - S_best < threshold_delta_s,False,16682,29,0.0017384006713823282,0.17384006713823283
4,CN4,0.80,<,S_second - S_best < threshold_delta_s,False,16682,31,0.0018582903728569715,0.18582903728569716
4,CN4,0.81,<,S_second - S_best < threshold_delta_s,False,16682,31,0.0018582903728569715,0.18582903728569716
4,CN4,0.82,<,S_second - S_best < threshold_delta_s,False,16682,31,0.0018582903728569715,0.18582903728569716
4,CN4,0.83,<,S_second - S_best < threshold_delta_s,False,16682,32,0.0019182352235942932,0.19182352235942932
4,CN4,0.84,<,S_second - S_best < threshold_delta_s,False,16682,32,0.0019182352235942932,0.19182352235942932
4,CN4,0.85,<,S_second - S_best < threshold_delta_s,False,16682,32,0.0019182352235942932,0.19182352235942932
4,CN4,0.86,<,S_second - S_best < threshold_delta_s,False,16682,33,0.001978180074331615,0.1978180074331615
4,CN4,0.87,<,S_second - S_best < threshold_delta_s,False,16682,33,0.001978180074331615,0.1978180074331615
4,CN4,0.88,<,S_second - S_best < threshold_delta_s,False,16682,34,0.0020381249250689365,0.20381249250689365
4,CN4,0.89,<,S_second - S_best < threshold_delta_s,False,16682,34,0.0020381249250689365,0.20381249250689365
4,CN4,0.90,<,S_second - S_best < threshold_delta_s,False,16682,34,0.0020381249250689365,0.20381249250689365
4,CN4,0.91,<,S_second - S_best < threshold_delta_s,False,16682,34,0.0020381249250689365,0.20381249250689365
4,CN4,0.92,<,S_second - S_best < threshold_delta_s,False,16682,36,0.00215801462654358,0.21580146265435798
4,CN4,0.93,<,S_second - S_best < threshold_delta_s,False,16682,36,0.00215801462654358,0.21580146265435798
4,CN4,0.94,<,S_second - S_best < threshold_delta_s,False,16682,36,0.00215801462654358,0.21580146265435798
4,CN4,0.95,<,S_second - S_best < threshold_delta_s,False,16682,36,0.00215801462654358,0.21580146265435798
4,CN4,0.96,<,S_second - S_best < threshold_delta_s,False,16682,36,0.00215801462654358,0.21580146265435798
4,CN4,0.97,<,S_second - S_best < threshold_delta_s,False,16682,36,0.00215801462654358,0.21580146265435798
4,CN4,0.98,<,S_second - S_best < threshold_delta_s,False,16682,39,0.002337849178755545,0.2337849178755545
4,CN4,0.99,<,S_second - S_best < threshold_delta_s,False,16682,39,0.002337849178755545,0.2337849178755545
4,CN4,1.00,<,S_second - S_best < threshold_delta_s,True,16682,39,0.002337849178755545,0.2337849178755545
4,CN4,1.01,<,S_second - S_best < threshold_delta_s,False,16682,39,0.002337849178755545,0.2337849178755545
4,CN4,1.02,<,S_second - S_best < threshold_delta_s,False,16682,39,0.002337849178755545,0.2337849178755545
4,CN4,1.03,<,S_second - S_best < threshold_delta_s,False,16682,40,0.0023977940294928664,0.23977940294928665
4,CN4,1.04,<,S_second - S_best < threshold_delta_s,False,16682,40,0.0023977940294928664,0.23977940294928665
4,CN4,1.05,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.06,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.07,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.08,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.09,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.10,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.11,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.12,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.13,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.14,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.15,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.16,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.17,<,S_second - S_best < threshold_delta_s,False,16682,41,0.0024577388802301883,0.24577388802301883
4,CN4,1.18,<,S_second - S_best < threshold_delta_s,False,16682,42,0.0025176837309675098,0.251768373096751
4,CN4,1.19,<,S_second - S_best < threshold_delta_s,False,16682,42,0.0025176837309675098,0.251768373096751
4,CN4,1.20,<,S_second - S_best < threshold_delta_s,False,16682,42,0.0025176837309675098,0.251768373096751
4,CN4,1.21,<,S_second - S_best < threshold_delta_s,False,16682,42,0.0025176837309675098,0.251768373096751
4,CN4,1.22,<,S_second - S_best < threshold_delta_s,False,16682,42,0.0025176837309675098,0.251768373096751
4,CN4,1.23,<,S_second - S_best < threshold_delta_s,False,16682,42,0.0025176837309675098,0.251768373096751
4,CN4,1.24,<,S_second - S_best < threshold_delta_s,False,16682,43,0.0025776285817048316,0.25776285817048317
4,CN4,1.25,<,S_second - S_best < threshold_delta_s,False,16682,43,0.0025776285817048316,0.25776285817048317
4,CN4,1.26,<,S_second - S_best < threshold_delta_s,False,16682,44,0.002637573432442153,0.26375734324421535
4,CN4,1.27,<,S_second - S_best < threshold_delta_s,False,16682,45,0.002697518283179475,0.2697518283179475
4,CN4,1.28,<,S_second - S_best < threshold_delta_s,False,16682,45,0.002697518283179475,0.2697518283179475
4,CN4,1.29,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.30,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.31,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.32,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.33,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.34,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.35,<,S_second - S_best < threshold_delta_s,False,16682,46,0.0027574631339167964,0.27574631339167965
4,CN4,1.36,<,S_second - S_best < threshold_delta_s,False,16682,47,0.0028174079846541183,0.28174079846541183
4,CN4,1.37,<,S_second - S_best < threshold_delta_s,False,16682,48,0.0028773528353914397,0.28773528353914396
4,CN4,1.38,<,S_second - S_best < threshold_delta_s,False,16682,48,0.0028773528353914397,0.28773528353914396
4,CN4,1.39,<,S_second - S_best < threshold_delta_s,False,16682,49,0.0029372976861287616,0.29372976861287614
4,CN4,1.40,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.41,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.42,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.43,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.44,<,S_second - S_best < threshold_delta_s,False,16682,50,0.002997242536866083,0.2997242536866083
4,CN4,1.45,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.46,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.47,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.48,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.49,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.50,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.51,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.52,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.53,<,S_second - S_best < threshold_delta_s,False,16682,51,0.003057187387603405,0.3057187387603405
4,CN4,1.54,<,S_second - S_best < threshold_delta_s,False,16682,53,0.0031770770890780483,0.3177077089078048
4,CN4,1.55,<,S_second - S_best < threshold_delta_s,False,16682,53,0.0031770770890780483,0.3177077089078048
4,CN4,1.56,<,S_second - S_best < threshold_delta_s,False,16682,54,0.0032370219398153697,0.323702193981537
4,CN4,1.57,<,S_second - S_best < threshold_delta_s,False,16682,55,0.0032969667905526916,0.32969667905526917
4,CN4,1.58,<,S_second - S_best < threshold_delta_s,False,16682,55,0.0032969667905526916,0.32969667905526917
4,CN4,1.59,<,S_second - S_best < threshold_delta_s,False,16682,56,0.003356911641290013,0.3356911641290013
4,CN4,1.60,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.61,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.62,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.63,<,S_second - S_best < threshold_delta_s,False,16682,57,0.003416856492027335,0.3416856492027335
4,CN4,1.64,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.65,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.66,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.67,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.68,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.69,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
4,CN4,1.70,<,S_second - S_best < threshold_delta_s,False,16682,58,0.0034768013427646564,0.34768013427646566
