subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
CONTEXT_EXACT,schnet_3d,0,11,dipole_moment,11,12,23,2.5607166666666665,0.57009866215388,1.0,0.0
CONTEXT_EXACT,schnet_3d,0,11,hl_gap_ev,10,24,26,0.19009420908341665,0.18432995013569695,0.75,0.0
CONTEXT_EXACT,schnet_3d,0,22,dipole_moment,11,12,23,2.5607166666666665,0.5428056415875756,0.9166666666666666,0.0
CONTEXT_EXACT,schnet_3d,0,22,hl_gap_ev,10,24,26,0.19009420908341665,0.20549827561238557,0.625,0.0
CONTEXT_EXACT,schnet_3d,0,33,dipole_moment,11,12,23,2.5607166666666665,0.27839059788386006,1.0,0.0
CONTEXT_EXACT,schnet_3d,0,33,hl_gap_ev,10,24,26,0.19009420908341665,0.25270527240484797,0.20833333333333334,0.0
CONTEXT_EXACT,schnet_3d,1,11,dipole_moment,12,21,30,2.334757142857143,0.9676971096765428,0.9523809523809523,0.0
CONTEXT_EXACT,schnet_3d,1,11,hl_gap_ev,17,30,45,0.27761963294366665,0.23942482835103304,0.7,0.0
CONTEXT_EXACT,schnet_3d,1,22,dipole_moment,12,21,30,2.334757142857143,1.2895970183417906,0.9523809523809523,0.0
CONTEXT_EXACT,schnet_3d,1,22,hl_gap_ev,17,30,45,0.27761963294366665,0.3359340268728215,0.4666666666666667,0.0
CONTEXT_EXACT,schnet_3d,1,33,dipole_moment,12,21,30,2.334757142857143,1.1921661452520462,1.0,0.0
CONTEXT_EXACT,schnet_3d,1,33,hl_gap_ev,17,30,45,0.27761963294366665,0.35652039278888464,0.4,0.0
CONTEXT_EXACT,schnet_3d,2,11,dipole_moment,9,14,23,2.3384714285714283,0.3447875470570156,1.0,0.0
CONTEXT_EXACT,schnet_3d,2,11,hl_gap_ev,11,17,26,0.1946414451477647,0.4150831528194867,0.5294117647058824,0.0
CONTEXT_EXACT,schnet_3d,2,22,dipole_moment,9,14,23,2.3384714285714283,0.6055466633387975,1.0,0.0
CONTEXT_EXACT,schnet_3d,2,22,hl_gap_ev,11,17,26,0.1946414451477647,0.31474530503585113,0.35294117647058826,0.0
CONTEXT_EXACT,schnet_3d,2,33,dipole_moment,9,14,23,2.3384714285714283,1.4109294914245607,0.8571428571428571,0.0
CONTEXT_EXACT,schnet_3d,2,33,hl_gap_ev,11,17,26,0.1946414451477647,0.2580829952045987,0.6470588235294118,0.0
CONTEXT_EXACT,schnet_3d,3,11,dipole_moment,7,7,14,3.3480571428571433,1.791199004309518,1.0,0.0
CONTEXT_EXACT,schnet_3d,3,11,hl_gap_ev,12,13,25,0.4062450648170769,0.39635537547248323,0.6923076923076923,0.0
CONTEXT_EXACT,schnet_3d,3,22,dipole_moment,7,7,14,3.3480571428571433,2.087781737191336,0.8571428571428571,0.0
CONTEXT_EXACT,schnet_3d,3,22,hl_gap_ev,12,13,25,0.4062450648170769,0.40668728713668456,0.6153846153846154,0.0
CONTEXT_EXACT,schnet_3d,3,33,dipole_moment,7,7,14,3.3480571428571433,0.9783346666608536,1.0,0.0
CONTEXT_EXACT,schnet_3d,3,33,hl_gap_ev,12,13,25,0.4062450648170769,0.37389931307251795,0.6153846153846154,0.0
CONTEXT_EXACT,schnet_3d,4,11,dipole_moment,10,11,21,2.5486727272727276,1.121905358019742,1.0,0.0
CONTEXT_EXACT,schnet_3d,4,11,hl_gap_ev,15,18,34,0.23425980070444444,0.20035498568203422,0.6666666666666666,0.0
CONTEXT_EXACT,schnet_3d,4,22,dipole_moment,10,11,21,2.5486727272727276,1.0938806382265962,1.0,0.0
CONTEXT_EXACT,schnet_3d,4,22,hl_gap_ev,15,18,34,0.23425980070444444,0.2421522082911164,0.6111111111111112,0.0
CONTEXT_EXACT,schnet_3d,4,33,dipole_moment,10,11,21,2.5486727272727276,1.2989727990930728,0.9090909090909091,0.0
CONTEXT_EXACT,schnet_3d,4,33,hl_gap_ev,15,18,34,0.23425980070444444,0.22506448632928622,0.4444444444444444,0.0
G0,schnet_3d,0,11,dipole_moment,61,97,144,3.912979381443299,0.7686145532509716,0.9690721649484536,0.0
G0,schnet_3d,0,11,hl_gap_ev,57,101,136,0.22635832061675246,0.2109769215598489,0.7128712871287128,0.0
G0,schnet_3d,0,22,dipole_moment,61,97,144,3.912979381443299,1.0068109433832857,0.9484536082474226,0.0
