subset,model,seed,target,n_folds,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
CONTEXT_EXACT,schnet_3d,11,dipole_moment,5,49,65,111,2.5225984615384616,0.8749107827113225,0.9846153846153847,0.0
CONTEXT_EXACT,schnet_3d,11,hl_gap_ev,5,65,102,156,0.25193741989339213,0.26884398897194006,0.6764705882352942,0.0
CONTEXT_EXACT,schnet_3d,22,dipole_moment,5,49,65,111,2.5225984615384616,1.0572310392585167,0.9538461538461539,0.0
CONTEXT_EXACT,schnet_3d,22,hl_gap_ev,5,65,102,156,0.25193741989339213,0.29417964792655255,0.5294117647058824,0.0
CONTEXT_EXACT,schnet_3d,33,dipole_moment,5,49,65,111,2.5225984615384616,1.065634347099891,0.9538461538461539,0.0
CONTEXT_EXACT,schnet_3d,33,hl_gap_ev,5,65,102,156,0.25193741989339213,0.2947039319973623,0.43137254901960786,0.0
G0,schnet_3d,11,dipole_moment,5,296,433,681,4.6915588914549655,0.876063099807845,0.9792147806004619,0.0
G0,schnet_3d,11,hl_gap_ev,5,283,419,660,0.2715871695184367,0.2694376557733529,0.6754176610978521,0.0
G0,schnet_3d,22,dipole_moment,5,296,433,681,4.6915588914549655,0.9581556844380933,0.9792147806004619,0.0
G0,schnet_3d,22,hl_gap_ev,5,283,419,660,0.2715871695184367,0.2930160632392519,0.5441527446300716,0.0
G0,schnet_3d,33,dipole_moment,5,296,433,681,4.6915588914549655,1.0094076195089152,0.9722863741339491,0.0
G0,schnet_3d,33,hl_gap_ev,5,283,419,660,0.2715871695184367,0.28188293169587536,0.5513126491646778,0.0
S1,schnet_3d,11,dipole_moment,5,251,355,572,4.949423661971831,0.8757704845374739,0.9774647887323944,0.0
S1,schnet_3d,11,hl_gap_ev,5,242,353,565,0.2702129197266346,0.2810927193721265,0.660056657223796,0.0
S1,schnet_3d,22,dipole_moment,5,251,355,572,4.949423661971831,0.9165429324964067,0.9774647887323944,0.0
S1,schnet_3d,22,hl_gap_ev,5,242,353,565,0.2702129197266346,0.3009331004331593,0.5495750708215298,0.0
S1,schnet_3d,33,dipole_moment,5,251,355,572,4.949423661971831,1.0308869101822546,0.9690140845070423,0.0
S1,schnet_3d,33,hl_gap_ev,5,242,353,565,0.2702129197266346,0.280606543049466,0.5609065155807366,0.0
S2,schnet_3d,11,dipole_moment,5,118,160,272,3.2333893750000002,0.8232221019053458,0.9625,0.0
S2,schnet_3d,11,hl_gap_ev,5,138,197,322,0.2382764345985533,0.23357072410055998,0.6954314720812182,0.0
S2,schnet_3d,22,dipole_moment,5,118,160,272,3.2333893750000002,0.8472285898399352,0.96875,0.0
S2,schnet_3d,22,hl_gap_ev,5,138,197,322,0.2382764345985533,0.25429712234909385,0.5532994923857868,0.0
S2,schnet_3d,33,dipole_moment,5,118,160,272,3.2333893750000002,0.9460415281701089,0.95625,0.0
S2,schnet_3d,33,hl_gap_ev,5,138,197,322,0.2382764345985533,0.2559751545197437,0.5380710659898477,0.0
S3,schnet_3d,11,dipole_moment,5,32,45,74,2.394751111111111,0.7308546695115832,1.0,0.0
S3,schnet_3d,11,hl_gap_ev,5,34,66,89,0.2761832015848788,0.3079950360668738,0.6666666666666666,0.0
S3,schnet_3d,22,dipole_moment,5,32,45,74,2.394751111111111,1.0939691813659667,0.9333333333333333,0.0
S3,schnet_3d,22,hl_gap_ev,5,34,66,89,0.2761832015848788,0.33090132781460313,0.5454545454545454,0.0
S3,schnet_3d,33,dipole_moment,5,32,45,74,2.394751111111111,1.085481602045695,0.9555555555555556,0.0
S3,schnet_3d,33,hl_gap_ev,5,34,66,89,0.2761832015848788,0.34579142578113475,0.36363636363636365,0.0
