panel,data_type,pair_id,cis_refcode,trans_refcode,cis_value,trans_value,unit,analysis_source,model,metric,value,ci_low,ci_high,direction_concordance,n_pairs,paired_randomization_p,n_graph_clusters,relative_improvement_fraction,descriptive_sign_probability
A,SUHQ_pair,bc3f7efb293e02c6af2bd89d7fd25c46b7daca5b4291d53332c730fdd0462d50,SUHQIW,SUHQOC,12.954299926757812,0.0023999214172363,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,0b680bff1b0c9b4ff7148b9b7558b431d1f56523568ae2516dee21a4112f4139,IGOCEN,IGOCAJ,6.407599925994873,4.715199947357178,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,11b57d70090c92766701a92ae959ddcc7ba63a086885b4acb5ebea9bda9f41eb,NUDGIC,TECWEE,10.658498764038086,1.14139986038208,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,2189c80c2facf660fb01e8e6e86ea9e0974abeec33be9d3a3eb36c525f33bde9,MADZUO,PAHNUJ,9.511300086975098,6.388999938964844,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,2d9c6aa2c64e5247380ce19e8b803c6291d596c83475420714f27688f2d03a3d,FORNUW,FOXFAA,11.606800079345703,2.0968003273010254,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,37b7b6b1a0cc5d2b1afb1cfbd93499a6a3f763d59f0627c5aa71a7fc27fbb693,VAZWEY,NEFXAY,7.971199989318848,2.670399904251098,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,42a22e223b13ce502f992fa7cb127b1b99039bc674567f891eac7172c6d74aec,CUHXUZ,CUHXOT,8.985300064086914,2.4602999687194824,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,46f4f6d6a8271f8c45a31ccd5fb362a53c06ffee3c328a4d5543b2cfb294740e,SASJOL,KARNIA,9.259099960327148,3.184499979019165,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,4f98784d94bc5f2cdc9e490923f796de71f23bbe7e12a1eedf223e36caaef1c7,HEFQIU,HEFQOA,6.491300106048584,0.003699779510498,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,580e24d42deae5fe8c1bb8cd0c113166609b23998b04b416f6692b5030fea932,KIXMIO,FENWEB,2.468899965286255,0.0794000625610351,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,5c401ef579c3a60d1d97df5e67a3d62e8f91946f9a9d9a3c686197e288d1901d,HEFQAM,HEFPUF,6.421800136566162,0.0005998611450195,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,5f8892aa0b64b8405ab6809b4982236a8540b311b48b595cdf2fc6f0f40320f1,MIQTIT,MIQTOZ,10.810999870300291,0.0040998458862304,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,63ac1684aac074596a5ee0d7d42c3e9bc9a271bf40a851653caf23c2efcc88a1,GAXGOB,FIRCEO,6.062300205230713,2.600800037384033,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,6fd43ee9137ed53e7136cad3bd0de35aabd67d35ff3dfba007b485b81d7b11f6,KOJQEF,XAJWEL,4.873600006103516,0.005199909210205,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,75ed7d3a7de6c4685d43d252b4de849e45854df0b8975224f5cca0cfbf43aeec,KEMJES,XETPUI,11.776901245117188,3.640599966049193,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,886a49d90a657fe1f96602811ca842138ad654a41f5eacd0acd629eebf4c55e6,ROFYAM,ROGTEM,8.074600219726562,2.637399911880493,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,8a3bbdbe21780d6f06b446e2bdf41ebbb763dddc9f28dda512fc9b1e087eea2b,NEJVOO,YEGCET,8.545999526977539,2.3060998916625977,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,8c1f4daa7730883481353b3112391173f067460a5e01576c7d84d8cd662c15a6,WIBCEQ,WICBUG,6.060200214385986,0.0018000602722167,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,90c0c46e560bb998bae0e81d81e69176332f324fd9bd47bfc8845c5bb00d8249,NIRXUK,NIHVUY,1.086899757385254,0.0079002380371093,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,af61686725d50cb029958d6fd4e94173ffc60cd0a66542dfd21468605837d562,MESIRA,MESIRB,6.093400001525879,0.5531001091003418,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,b1d53e44f630f801784c2248d05435b3e71b4220b245b2fa25a095e922cf8165,PIGJAR,JIFWAX,8.216500282287598,0.2841000556945801,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
B,relation_identifiable_pair,b45534b079cec93e1c70bf6afae842eee6287340ac6e493ebcae01b65ae1237a,YEFPOQ,YEFPUW,1.117499828338623,2.598900079727173,D,coordstatepairs-cartesian-complete-radius-postprocessing-v3-clean-shapes,,,,,,,,,,,
