selection_order,gate_member,stratum_selection_rank,mol_id,fold,metal,cn,graph_sha256,canonical_smiles,source_member,source_payload_bytes,source_payload_sha256,n_atoms,selection_score_sha256,ligand_payloads_json,ligand_payload_provenance_json,connectivity_status_json
1,True,3,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,CP(C)(C)->[Ir+3](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-P(C)(C)C)<-P(C)(C)C,xyz/ZEZWEI.xyz,1513,7f9815f765af356fa76bebd2dda3a89ea5299d6b421cf6fc12fee496613450d6,43,00e50d7e22bbe1f381cf4d193097b25d3e6ae41d09b81e1a856ed3766a422288,"[""P"",""P"",""P"",""Cl"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
2,True,3,FIGKAH,4,Pt,4,157ab509bea93d4d23240c1f2942afb332bcabdd703f85ce942c2699171c9a13,FC(F)(F)C1(=S->[Pt]<-1(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)F,xyz/FIGKAH.xyz,2770,9e15af56b77436869b40630f7c076ff12eac3feaeedf6f1324c16640b318ff32,79,048c552f5d53303a9aceb7d217433a336767a61eff2e33bf554445b394d730f7,"[""FC(F)(F)C(S)C(F)(F)F"",""P"",""P""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
3,True,1,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,CP(C)(C)->[Ni+2](<-[Cl-])(<-[Cl-])(<-P(C)(C)C)<-P(C)(C)C,xyz/HIVFEY.xyz,1477,e8143a9b297ee8efbcbe84e3faa8328a3a4069b1eac8722dd6bc943a69625e29,42,05916ff76613c48c4ae7c7467550dc38e84df89ce4248b55a9095a978b47e0b2,"[""P"",""P"",""P"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
4,True,6,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,[Cl-]->[Zn+2]12(<-[Cl-])<-n3ccccc3-c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)s4)cc(-c4ccccn->14)n->23,xyz/LOKSOV.xyz,2142,10fbd4a6a1c8e17fbb7077e3a09c194a449e5e22b253614917f724eab1b058cb,61,14ba03e5181d9a306e261c027b36cd6d8733b78849c72f9565cadd9efa21d443,"[""[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C(C3SC(N(C4C([H])C([H])C([H])C([H])C4[H])C4C([H])C([H])C([H])C([H])C4[H])C([H])C3[H])C2[H])C([H])C([H])C1[H]"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
5,True,7,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,CC(C)P1(Oc2cccc[c-]2->[Ir+3]<-12(<-[Cl-])(<-[C-]#[O+])<-[c-]1ccccc1OP->2(C(C)C)C(C)C)C(C)C,xyz/IPITIL.xyz,2386,b0d7b2c910510d900865a4967ddb27099d13d074e2f8f3703bc3d1d8130d3da7,68,16665ee5708776a4f0da5e8179d5b891646f8118a67afceb020cb58817989ab3,"[""[H]C1CC(OP)C([H])C([H])C1[H]"",""[H]C1CC(OP)C([H])C([H])C1[H]"",""CO"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
6,True,7,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,O=S1([O-])c2ccccc2S(=O)(#[O+])->[Pd]<-12<-n1ccccc1-c1ccccn->21,xyz/QOCWIO.xyz,1300,ca755674f4a2eda5868b75eca4005668b4151cecdf9240e87b129f8b26e0786d,37,191ccf670f9db3250961319d3d4f49d99c2f16a21190370f66b9b86e8ce56a3d,"[""[H]C1NC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H]"",""OSO"",""OSO""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
7,True,4,ZADMUP,2,Pt,4,31cb79b302576fbcb363b32bf03ca9cf04dc953e90109efff73fe5730c229833,CC#N->[Pt+2]12<-[c-]3c(C=N->1c1ccccc1)ccc(OC)c3OP->2(c1ccccc1)c1ccccc1,xyz/ZADMUP.xyz,2035,d8408c6f25c6de2c1752c62f84b9212618da9265fc0ea2f6a7e6df14e60c9f2d,58,1cacd9f49d4dd0df0dd12b3ae196b1398e37ef37725c3f4514442b4c38cb7abb,"[""[H]C(NC1C([H])C([H])C([H])C([H])C1[H])C1CC(OP)C(OC([H])([H])[H])C([H])C1[H]"",""[H]C([H])([H])CN""]","[""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
8,True,6,NOWMUH,3,Ir,6,760e16df291c213ada6634dd95cb72d41e78d0d64ebc0c52b6f2e316669439d6,CCP(CC)(c1ccccc1)->[Ir+3](<-[Cl-])(<-[Cl-])(<-[C-]#N)(<-P(CC)(CC)c1ccccc1)<-P(CC)(CC)c1ccccc1,xyz/NOWMUH.xyz,2912,b27e1a9fd21b7c84c739c31b0a78eb36d6075810d9a9d7dc8f8de763b1fa7a22,83,1e88663c65738d3b8b0235eb8c26dd339c3f2fbd2e7edfac2d8462f3cb39db2a,"[""CN"",""P"",""P"",""P"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
9,True,5,CAFREG,3,Ir,6,1993ad0be3aae881b5d6b801251d46d1b7cdacc7676e21a1619601f139816755,[O+]#[C-]->[Ir+3](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,xyz/CAFREG.xyz,2598,26242eb3074050350f03f67aa2b3a6397756aadaa40fd2bdfddca91810b8e34d,74,2199947836dee17a671ae7cfd9af05fd55551edbb7796ca5da728bf64d0cece2,"[""CO"",""P"",""P"",""Cl"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
10,True,1,FEJNEP,2,Zn,5,165f9d5f6224d8313ec50b464dcc05a414715667f9e0fe72e4ceaec8b2543582,CSC1=N[N-]2C=c3ccccc3=CN3=NC(SC)=S->[Zn+2]<-3<-2(<-O=CN(C)C)<-[S-]1,xyz/FEJNEP.xyz,1580,94c063a49eb8222866c42369d279ecc108295d13276d05e32a7d686fcfa7f575,45,21b89fbe477cae3c52f2a094274c684e4c64e8d2c2b1ed7f67a6da0f1ecea770,"[""[H]C(NNC(S)S)C1C([H])C([H])C([H])C([H])C1C([H])NNC(S)S"",""[H]C(O)N(C([H])([H])[H])C([H])([H])[H]""]","[""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
11,True,4,HAYJUO,1,Pd,4,e5262e378257e6ee9db9b801d1778a3a504786df7107a9fd96f5de83c781c387,[Br-]->[Pd+2]1(<-[Br-])<-n2c(-c3ccc4ccccc4n->13)ccc1ccccc12,xyz/HAYJUO.xyz,1232,f5681ecb9c10dbc8bc6d26d9624774c9076e8d19cab43cf47f909efbb89d76cf,35,232c74a39e4305cdd0a4287845e03122fb21a0595a86e36ce86ab9de772cd382,"[""[H]C1C([H])C([H])C2C([H])C([H])C(C3NC4C([H])C([H])C([H])C([H])C4C([H])C3[H])NC2C1[H]"",""Br"",""Br""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
12,True,1,LEMQOK,4,Pd,4,fb8074ae61bbe9b54ce88902d42273d0965abfba6a7868df298a2fffe47c0759,CN1C=CN2Cc3ccccn3->[Pd+2](<-[Cl-])(<-[Cl-])<-[C]12,xyz/LEMQOK.xyz,952,6b6d2f07f42d9f9fc6575c4eb0142cc69836cb60d888209369619f8a3a39f3cd,27,23f2f803ba2e592a8ad8c019617b76cd25895c56d660eaf3c5739855f1f4f5de,"[""[H]C1NC(C([H])([H])N2CN(C([H])([H])[H])C([H])C2[H])C([H])C([H])C1[H]"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
13,True,4,LOPLUX,1,Fe,5,f28911cdbeeaf120eb0b4420878a73b9c95acde30cbcc0df3feee675eaf40b23,CSC1=S->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c1sc1ccccc12,xyz/LOPLUX.xyz,950,a017e991e80efa6e23d7baa656b1a1c916e08dde99852078a7d8fb6fea27a3b9,27,29652d06a9e7b4de8c1d860b7fab293e2887253b61350b1f81c1a5570f8241a6,"[""[H]C1C([H])C([H])C2SC(C(S)S)NC2C1[H]"",""CO"",""CO"",""CO""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
14,True,7,QONFUW,3,Cu,5,5c8aa3cd0e791e7b7b7a487e30a00eefb3f79da50bc7b7bc323d55ed9374c33f,CC(C)P1(c2ccccc2C=C2c3ccccc3P(C(C)C)(C(C)C)->[Cu+]<-2<-1<-[O-]S(=O)(=O)C(F)(F)F)C(C)C,xyz/QONFUW.xyz,2630,f967329d0df8d60fc1154632925b0e4bf08f8f56fa975b9267931adc381d3a41,75,29beed6f28c515bbf16ad352cde173288d43f66d71015ad86e6ee19b69a58c37,"[""[H]C1CC(C([H])C([H])C2CC([H])C([H])C([H])C2[H])C([H])C([H])C1[H]"",""O[SH](O)O"",""P"",""P""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
15,True,2,LOGRAD,1,Fe,5,44400a602d35f326689d01d194074acca0f30dc57dd1894a0755b8af8fe42a3c,CC(C)P1(Cc2cccc3CP(C(C)C)(C(C)C)->[Fe+2]<-1(<-[Cl-])(<-[Cl-])<-n23)C(C)C,xyz/LOGRAD.xyz,2107,bbdea9671392a36793c97dfeeaf996648ee861bf9b3c8a3e2a81521b42c3baab,60,29db72e2e75d73eaf38f074456868dbef36cfeddc2af348b4960b04d301ea172,"[""[H]C([H])C1NC(C([H])[H])C([H])C([H])C1[H]"",""P"",""P"",""Cl"",""Cl""]","[""SMILES"",""SMILES"",""SMILES"",""SMILES"",""SMILES""]","[""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred"",""low_confidence_distance_inferred""]"
