run_stage,selection_order,mol_id,fold,metal,cn,graph_sha256,arm,k,representation,reference_sha256,matched_variants,mismatched_variants,match_fraction,unique_variant_hashes,unique_hashes_with_reference,all_variants_match_reference
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,rigid,100,raw_cartesian,7ae9a92fddb1fb204d53129fb216892ac89a211933ec7a27c34e850d362942ff,0,100,0.0,100,101,False
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,rigid,100,ordered_distance_matrix,e9149c80bc09d930ac5fc6c69ff0c9edd483ff6752dd5a9c49f64d75ab504417,100,0,1.0,1,1,True
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,rigid,100,connectivity_only,000e30a81c71c407accccf5fb19311b11cfcd49fd74f6747f70152efec993252,100,0,1.0,1,1,True
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,rigid,100,uncanonicalized_coordrep,56e1926e029ab696b65e9317ea5aad7aacf5b8dc661911fc62fabf12204132a1,100,0,1.0,1,1,True
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,rigid,100,patched_coordrep,edf953bf120712e8852ca801e78a5456ca2f1c816f8741ebff341e78752af9f3,100,0,1.0,1,1,True
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,permutation,100,raw_cartesian,7ae9a92fddb1fb204d53129fb216892ac89a211933ec7a27c34e850d362942ff,0,100,0.0,95,96,False
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,permutation,100,ordered_distance_matrix,e9149c80bc09d930ac5fc6c69ff0c9edd483ff6752dd5a9c49f64d75ab504417,0,100,0.0,95,96,False
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,permutation,100,connectivity_only,000e30a81c71c407accccf5fb19311b11cfcd49fd74f6747f70152efec993252,100,0,1.0,1,1,True
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,permutation,100,uncanonicalized_coordrep,56e1926e029ab696b65e9317ea5aad7aacf5b8dc661911fc62fabf12204132a1,1,99,0.01,72,72,False
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,permutation,100,patched_coordrep,edf953bf120712e8852ca801e78a5456ca2f1c816f8741ebff341e78752af9f3,100,0,1.0,1,1,True
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,combined,100,raw_cartesian,7ae9a92fddb1fb204d53129fb216892ac89a211933ec7a27c34e850d362942ff,0,100,0.0,100,101,False
full,1,ZEZWEI,3,Ir,6,fc16a4a8c72a94228b8739cf7663148924b4ce6a9dd773f626d074680b2132dd,combined,100,ordered_distance_matrix,e9149c80bc09d930ac5fc6c69ff0c9edd483ff6752dd5a9c49f64d75ab504417,0,100,0.0,97,98,False
