selection_order,cn_selection_rank,selection_score_sha256,mol_id,fold,metal,cn,graph_sha256,source_member,source_payload_sha256,candidate_count,repeated_payload_group_sizes,legal_ligand_group_sizes,donor_rank_orbit_sizes,in_general_n1000
1,1,0003d4910696381b72ed63abd85d106d80f0f784470234290bb9d7f7eac7578b,OHUYUL,0,Ir,6,6608432c12b441774f93b95bb5b2f8a264a806fecb93a2e348a988a0b95c26eb,xyz/OHUYUL.xyz,d11f1e1aea5ba45db0c3b8bfd36aaae9b7b556c1cebf78837b3cecc890896b4d,6,[3],[3],[],False
2,2,00050019c627930e5a88860482d8df02f0763da10c1e96fed35b57f10e6a2ce8,TOGCOH,3,Ni,6,eaa23ea3f23ed1e84bea11b4c93a0c58099aa389630fe2cff02650317d6ac6bd,xyz/TOGCOH.xyz,71f77d14fdd2d0b7325f09ecb080acf538413903e3f80ff9aa4f839168ac3b93,4,[2],[2],[2],False
3,3,00096f8e5fd772ee0dae4d357d4959e90560f77f32e68e84785eb94efe70ff9b,FAFZAO,3,Cr,6,214cdd5585f8a93e8a7d0dfc0f07cfab4a78b38e9e15b8292b73c3d2c622498a,xyz/FAFZAO.xyz,0dd9f045e9095cd27590a070f1ab5b931f774051cd4f82094b394d483817801a,120,[5],[5],[],True
4,1,00179622189993f3e4535d60fccbccb14a35c80ec9f3d60e01ca6a89b94d6359,UQAXES,4,Pt,4,d9cbc702045d79727c3e0755bfaf5ea7fdeb02e3cf371a1522ec263ae5ce6849,xyz/UQAXES.xyz,394243dffc7f133da59a8f9bf51dacd3e358b2adac4402c9fa4c255e111f1b70,4,"[2,2]","[2,2]",[],False
5,2,00440575314ef3d15875405d680c2188bfaf2283fcf5563d1da3614c2a6580f8,YEXVOM,1,Pt,4,eb25454ca4284efd2b57c3fff5350c7d4f6978d53e74db76f053d12f91fceab3,xyz/YEXVOM.xyz,24615d9a180376488e2c6d80da859264f757e44e43d807c0d5522cad1f273fdb,2,[2],[2],[],False
6,4,0049bcc5b1e3092cdb160b8da192467656d9d364e8de9322b697a2941aaa4861,COMQAZ,4,Pt,6,57d7883bd2c4b95e84e0296b2184768827d51a44110ad5945809131a99bf2f13,xyz/COMQAZ.xyz,888fc7c9040147a94c1bd6140d6c1a4cef0ef60c708a529c970449f8d8b402de,4,"[2,2]","[2,2]",[],False
7,3,00556a95a182bfa5f47a6451c456ef190771ac51e48b7a444ba18ac2b0064337,CEWBAK,3,Rh,4,00eeb824f8787342d34966b55111f7670ff7f3acbf0f707967e8dde3d3590a2e,xyz/CEWBAK.xyz,45681b161fc6363255f840d7706ca83ee3e084602590545307620aaa032eb241,2,[2],[2],[],False
8,4,0061a02388d183320aa3d2a043ebdaaa37d36a731a1a25cee0339f094fc4bc36,HAYJUO,1,Pd,4,e5262e378257e6ee9db9b801d1778a3a504786df7107a9fd96f5de83c781c387,xyz/HAYJUO.xyz,f5681ecb9c10dbc8bc6d26d9624774c9076e8d19cab43cf47f909efbb89d76cf,4,[2],[2],[2],True
9,5,00631a7479b790aac9a2718861def121f0bdeeac0c14d925c6677289f24da369,RIRKOV,4,Pt,4,30501e95c4f6be5d57939b2a1750527a6f3079da98a911e3af17c4820e45be54,xyz/RIRKOV.xyz,4f2eaab3dceda64fe4902f9ee649179bd6f2bfe056639f27b2a59864a20bdf86,4,[],[],"[2,2]",False
10,6,00744824b530839640cdb3fdbe905f54c32b458a029cef10e9e4519f7ca1c282,KITNAF,1,Zn,4,0eb953ba4461cbfb484eae09cfef56b6540848d9140e168562dea98e2fc75fb4,xyz/KITNAF.xyz,bf66a21edcc5d03ad6adfb08bcee493e037521df9d7e7b75ee8e68961cca26d7,2,[2],[2],[],False
11,7,007b198c1651089416e49d846ab77d366ed601a7c8dc954a9c99c84f635a4d3f,HUWXUS,3,Cu,4,e87287a4d6f02e2908958bbab3a62be185129c34961d6e0dfb1d293c0b32f8d8,xyz/HUWXUS.xyz,d082b717ff55632d5ba99961d52ad3d8ef2e7d0a4f6bbcfc505146c6563dd575,2,[2],[2],[],False
12,8,0080217547a05e3af2c11ffa192ce9c9613c482824f7a5cfcdbd26f10687fda3,BIGXUL,1,Pt,4,aa735a925f01961dae7a6f5c247f5cb9cd234d3c0bf541bfb7a516d14d2484b9,xyz/BIGXUL.xyz,330060eff58fdd8db0fa3b32e69aa003b9b11d96d5b145e7856c52c57e99d183,6,[3],[3],[],False
13,9,008228c7ed415d82626add534aa51b5f7923417a861dbd3edf2a39ef63fbd3df,NAKKEQ,0,Pd,4,c0c3b387bb1a164ccdaf7ecad4933055ede8ebeddbbb58a570e3d7922ec68bd7,xyz/NAKKEQ.xyz,b9706413cf1e9bb31a82bae53fb0ecd895e5813a0e4092e7aa75a673564ba932,2,[2],[2],[],False
14,10,009631b790f7630ff9bf349fa2f49800aaa0561f86627bf08de8e7fb45f79f08,VUZDOK,4,Pt,4,e6f10c0193a95ea5f5f53fcbee5978172eaac3f0ede2cca79d0a30394e0c6c1a,xyz/VUZDOK.xyz,e23042b124761c1b8ac149494878a37414478c365fc1551bb4318f8024f0f0c9,4,"[2,2]","[2,2]",[],False
15,11,00a1e6a328235bc4afaf8679b8cdd564e0b637ca1cbe89fc73fb881c198779db,JEPGOB,2,Pd,4,e60a11ba570c4797f214de79507d965b5c6d784282ac5742f281fe58195c79ac,xyz/JEPGOB.xyz,9cd87cd70870bf14d4ecec408a0d5c744c5c637657af8cfc6054da5359b23e47,2,[2],[2],[],False
16,1,00a8486b28ad955fd6a9db821a334819a816c1df1def6714ad1243e4faa3b209,NAQQAX,1,Fe,5,a74fb9638f7a1215f8604b2ead4600f5916dc1c62d1a4dc0f9f55672ff89c584,xyz/NAQQAX.xyz,f1f758c346344cc460148642ee9d2b6c5b26044e444f97f75c4ef872cbd8d6ef,24,[4],[4],[],True
