mol_id,fold,metal,cn,graph_sha256,source_member,source_payload_sha256,graph_representative_score_sha256,n_ligands,repeated_payload,repeated_payload_group_sizes,legal_ligand_group_sizes,donor_rank_orbit_sizes,candidate_count,challenge_eligible,missing_attachment_identity_group_count,above_exact_limit,grammar_roundtrip,exact_sha256,encode_seconds,exact_seconds,screen_seconds,screen_error
UHAJIX,0,Ni,4,de2c8485c63ec1a788ed48f80898aa94323f95b7805cc255e1b2f93487ecc74e,xyz/UHAJIX.xyz,f905ad511c185722fd077ddcdd1747bec467711a1537d3a26d440c0bff148090,000c316224acb4b58c62a3b5c43c7d81940b3e610a80dd9131ddc01b4ae9df95,4,True,[2],[2],[],2,True,0,False,True,74fd0e6ea3436688bc516753a628629da827a309af9792b9498166aebe5f8b31,0.006031099997926503,0.0006798000249546021,0.006932499993126839,
LELTEF,0,Ir,6,75392ca81cdfdc7cade44a233b59794fe878187cbb13788933854a9368e14092,xyz/LELTEF.xyz,2627f05aa40175e819e585331454cf9cf5af62aea3ecd129f06ac6a3db2d8261,000d51a4bf8ec4c5201242171db411526ce1c96e2952fe58d3596a85bb2154dc,5,True,[3],[3],[],6,True,0,False,True,7879e5c9af94180644cdd633176895e40c12418faf9e483c9f428f830de653ec,0.0073985999915748835,0.003000099997734651,0.010544399992795661,
IPISUW,1,Ir,6,036aff085dc0a4131f90628d265a400569b349100ef81b9dfc844bef8118bdfe,xyz/IPISUW.xyz,64d1d37af7335b1b180b5afcf43b7c868906e747a4e43e6790442d55e0d843e3,001fdc040bff6284d192ef75ada281988f3b0b10d1ea5f703b9c2067e26d89d8,4,False,[],[],[],1,False,0,False,True,83f1aea67702edd83864dc3713ff0ede1412d220c1495ef94c69ebd11e9a5beb,0.009952499996870756,0.00035409998963586986,0.010523199976887554,
NIYCUW,0,Cu,4,9197df2bb10aae2842f9e3d6497d519a5fa4ec91305d7200a359dc753914b722,xyz/NIYCUW.xyz,8e0f76d3ea046d4e17d1466681d936b9f557c078528ec4ca7ff3d9ea82af3f85,0023d054831910791a0c08a35c90aece4c4804438cdeda0d79793ec152010edd,3,True,[2],[2],[],2,True,0,False,True,ae6f9d2dba63c14d0b3b8009ab9651478a47b195871086f5ef059362df6f2b53,0.0067186999949626625,0.0003598000039346516,0.007256800017785281,
VUPDOZ,0,Pd,4,c74b09a7933974c5d2a041c07cb70d9af966cfef4ff1dc0df92220b21cd5a2d1,xyz/VUPDOZ.xyz,c0a94aed7cc8fa1ce123e9d471ebdcdb6c760ef500e4d4f48b38686f9d30da2e,0024ace9ff71afdac8b21183fff7299ea3ecd3eaae785e63dc5498ce5a40854a,4,True,[2],[2],[],2,True,0,False,True,102f48c766feef89638a08a1de76ffb235d5d149aae19b632b878436a5ffe468,0.005030300002545118,0.00047759999870322645,0.005615700007183477,
TUTPAB,4,Fe,6,72852636b24a21c67b0310825b573d312a4081724d9d464e915c98bb255d2ff3,xyz/TUTPAB.xyz,bc75428da0529438b4f3ef6d1026c3e609ad6fa14785e829cbe8df2afd5a355f,0028f3f818e6dcceb020957c42cfa9b018ed0553400e95d3de5c7b9fc9a33786,4,True,[2],[2],[2],4,True,0,False,True,94e0d30a48e299ef3aebb41cf9de68be051a325e1d498c6b99ce515a72f93211,0.004500700015341863,0.0015716000052634627,0.0061886000039521605,
CEFHAW,2,Pt,4,c7144ef097a118dec888b53191c7c22cdc8bfa61b413096f481948213d091e7f,xyz/CEFHAW.xyz,c0fd9d192c1bc21d0f5d5fbd65d3cfcf5c443e2520560a02fb60227c58a8a001,0040ce836026d01cfd86db7420b8cc0d543b02d86a012f7ab7186ddfd5916297,3,False,[],[],[],1,False,0,False,True,983399e219c143d93031d8b8c9c6970b3169dc7aaf9ce1c9ebb416c59737350f,0.001517699973192066,0.0001474000164307654,0.0017379999917466193,
KOJLUT,1,Pd,4,c4f0e4e88fbeb95e5fedc1325aed0684141ae1675c5c4c58ecb205b98ad76548,xyz/KOJLUT.xyz,d75177f7974cee95640989b4d99ccebfe7647d5d02fbcad6f698f7c59f548974,0044c2009fcc7922461977b453bba19a904c2b4958ca3b35b44e7471dbfe681f,4,True,[2],[2],[],2,True,0,False,True,c033d458fddc6d7586a72e9411e2636ddb299128d6c0981394492166b593d4bf,0.0040099000034388155,0.00047080000513233244,0.004574999999022111,
CAJKEF,0,Ni,4,b04c678662de2918100f5a3b6ecea2f9c30bdb05a4b93305e571cad56b485424,xyz/CAJKEF.xyz,e982da5aa28bc878e8c851ba1f6c9aa30ab5b9d163bbfa11385b566df77881f3,0055448409f9ab5907e76ebb7a87b122fa85124e24e544de5bc47b2828ffa46b,2,False,[],[],[2],2,True,0,False,True,a37c8e55dfd01d04542cf8c1326f631968bc1d44873f2b46889a7be69400c6fb,0.005054799985373393,0.0005385999975260347,0.005718300002627075,
LICYEB,0,Pt,4,aaa84ca0cce69aca878bddb29a75e7a34923a30ed4f5f24faac861aa09fb893e,xyz/LICYEB.xyz,aa05ae26c25b059558301ce67791299e8aff62389528391be856bd6a2c410701,005787590e623236796e95db9a5f9f56744981575c1da3f046ea6d45ff09ca71,2,False,[],[],[],1,False,0,False,True,7335940647deac0330e5b730c6ebea492ee8ce7cc4ae79ae654dc52a3fe2105b,0.0020819000201299787,0.00015999999595806003,0.002316500002052635,
