selection_order,mol_id,fold,metal,cn,graph_sha256,candidate_count,k,signature_matches,exact_matches,signature_fully_collapsed,exact_fully_collapsed,signature_roundtrip_passes,exact_roundtrip_passes,signature_roundtrip_all,exact_roundtrip_all,candidate_count_matches,candidate_count_stable,variant_errors,signature_reference_sha256,exact_reference_sha256,encode_median_seconds,signature_median_seconds,exact_median_seconds,error_examples_json,fatal_error
1,OHUYUL,0,Ir,6,6608432c12b441774f93b95bb5b2f8a264a806fecb93a2e348a988a0b95c26eb,6,100,62,100,False,True,100,100,True,True,100,True,0,3a54c6cd363ad94a5c501cb451bf59db56205e16e7bc417dedc16ae4f42c3552,31413e7355d3153ffb43345b30cf4895399656c8f21e9412f25ab2428bd10d49,0.007802849999279715,0.00021699999342672527,0.0020909000013489276,[],
2,TOGCOH,3,Ni,6,eaa23ea3f23ed1e84bea11b4c93a0c58099aa389630fe2cff02650317d6ac6bd,4,100,42,100,False,True,100,100,True,True,100,True,0,0f68def6a6a2464baa12a9b7f4e10eec02d9e0598bf3ddb066f4274970193209,0f68def6a6a2464baa12a9b7f4e10eec02d9e0598bf3ddb066f4274970193209,0.009674200002336875,0.0003315999929327518,0.0020182000007480383,[],
3,FAFZAO,3,Cr,6,214cdd5585f8a93e8a7d0dfc0f07cfab4a78b38e9e15b8292b73c3d2c622498a,120,100,3,100,False,True,100,100,True,True,100,True,0,59fcf6c6054084c869b9401bdc9984550d025a71782dc81de8c67fa926b6fa99,752cae2a437634690d9bbce4fee8c006e02f2c3d9844cf36b3e350236bb32d3c,0.005680699992808513,0.0002514999941922724,0.043580700003076345,[],
4,UQAXES,4,Pt,4,d9cbc702045d79727c3e0755bfaf5ea7fdeb02e3cf371a1522ec263ae5ce6849,4,100,51,100,False,True,100,100,True,True,100,True,0,07e2a8044aa9bc4a7e4abb50869d08a0b95c05cf9e6a25f494678f815125e26c,1e93971b60d931c1445fee0ce52087e4e7908f222a74c9fca3c723c62225a258,0.007446550007443875,0.00017179999849759042,0.0007104999967850745,[],
5,YEXVOM,1,Pt,4,eb25454ca4284efd2b57c3fff5350c7d4f6978d53e74db76f053d12f91fceab3,2,100,100,100,True,True,100,100,True,True,100,True,0,d58de220be6486691a951de8e838e1093b8ddc2f97e159f449f418ea899b7242,d58de220be6486691a951de8e838e1093b8ddc2f97e159f449f418ea899b7242,0.0070368500018958,0.00023600002168677747,0.0006952999974600971,[],
6,COMQAZ,4,Pt,6,57d7883bd2c4b95e84e0296b2184768827d51a44110ad5945809131a99bf2f13,4,100,48,100,False,True,100,100,True,True,100,True,0,1bae33db82b13688949d9151b987a1d7b7bc0d4ad9e4f486fb5c59fdeb8acee6,9cb9cc5ced5fb5930716c3687bf7f25e1a53ec879622281b42c664937ea96bf7,0.007054650006466545,0.0003471999953035265,0.0016119999927468598,[],
7,CEWBAK,3,Rh,4,00eeb824f8787342d34966b55111f7670ff7f3acbf0f707967e8dde3d3590a2e,2,100,100,100,True,True,100,100,True,True,100,True,0,c4f73b826cc1c053a6cd0a3a8fc32150eda2a1ecb754e35bb36f359ff2fd8824,c4f73b826cc1c053a6cd0a3a8fc32150eda2a1ecb754e35bb36f359ff2fd8824,0.005983849987387657,0.0002629999944474548,0.0007807000074535608,[],
8,HAYJUO,1,Pd,4,e5262e378257e6ee9db9b801d1778a3a504786df7107a9fd96f5de83c781c387,4,100,56,100,False,True,100,100,True,True,100,True,0,0c9595579be343cd753d72eaec2411b552a0b486d8fc81a326748d8807102794,a807bc01e33e177844468df077eeb56639e87b0080f176e64e11f07c9c77dcf6,0.004067250003572553,0.00025060001644305885,0.00126090002595447,[],
9,RIRKOV,4,Pt,4,30501e95c4f6be5d57939b2a1750527a6f3079da98a911e3af17c4820e45be54,4,100,100,100,True,True,100,100,True,True,100,True,0,74e2fa4ffdb05751f4ad939004b180df0b42cc0e3628e52786b09198eec847c1,74e2fa4ffdb05751f4ad939004b180df0b42cc0e3628e52786b09198eec847c1,0.012193349990411662,0.00022039999021217227,0.000812700018286705,[],
10,KITNAF,1,Zn,4,0eb953ba4461cbfb484eae09cfef56b6540848d9140e168562dea98e2fc75fb4,2,100,100,100,True,True,100,100,True,True,100,True,0,2c05624f6c16d8429e2b544780962392885fdfc5b168e53f0aa46be0306eb4bd,2c05624f6c16d8429e2b544780962392885fdfc5b168e53f0aa46be0306eb4bd,0.005371649982407689,0.00019859999883919954,0.0005086000019218773,[],
11,HUWXUS,3,Cu,4,e87287a4d6f02e2908958bbab3a62be185129c34961d6e0dfb1d293c0b32f8d8,2,100,100,100,True,True,100,100,True,True,100,True,0,987033fc406f8aab33dceb5bdfa5b3d711dfa696a575414b5c85aa8f6b2f9692,987033fc406f8aab33dceb5bdfa5b3d711dfa696a575414b5c85aa8f6b2f9692,0.004729150008643046,0.0001936999906320125,0.0004940000071655959,[],
12,BIGXUL,1,Pt,4,aa735a925f01961dae7a6f5c247f5cb9cd234d3c0bf541bfb7a516d14d2484b9,6,100,29,100,False,True,100,100,True,True,100,True,0,5c35aa366ac249f2db73471d8542f8a6226d34553ff55ddc914dcd5d8a781341,92c46da48fdeff9337ab309bdcf087376640d943a7a6e3acc76a47d93b473b44,0.007825499997125007,0.00026229998911730945,0.0013011000119149685,[],
13,NAKKEQ,0,Pd,4,c0c3b387bb1a164ccdaf7ecad4933055ede8ebeddbbb58a570e3d7922ec68bd7,2,100,100,100,True,True,100,100,True,True,100,True,0,c3867d8176f0a3c844eedfb4c769c67dbca4f92f177d9b1f51ed180c8cb9a1e1,c3867d8176f0a3c844eedfb4c769c67dbca4f92f177d9b1f51ed180c8cb9a1e1,0.005837150005390868,0.00016500000492669642,0.000447300000814721,[],
