panel,data_type,pair_id,cis_refcode,trans_refcode,cis_donor_arrangement,trans_donor_arrangement,cis_value,trans_value,unit,analysis_source,metal,delta_cis_minus_trans,model,model_display_label,metric,value,ci_low,ci_high,direction_concordance,n_pairs,paired_randomization_p,reference_model,comparison_model,reference_value,comparison_value,relative_improvement_fraction,improvement_definition,bootstrap_two_tail_sign_probability_descriptive
A,SUHQ_pair,bc3f7efb293e02c6af2bd89d7fd25c46b7daca5b4291d53332c730fdd0462d50,SUHQIW,SUHQOC,two opposing N-O donor pairs,opposing N-N and O-O donor pairs,12.954299926757812,0.0023999214172363,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,,,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,0b680bff1b0c9b4ff7148b9b7558b431d1f56523568ae2516dee21a4112f4139,IGOCEN,IGOCAJ,,,6.407599925994873,4.715199947357178,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Ir,1.692399978637695,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,11b57d70090c92766701a92ae959ddcc7ba63a086885b4acb5ebea9bda9f41eb,NUDGIC,TECWEE,,,10.658498764038086,1.14139986038208,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,9.517098903656006,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,2189c80c2facf660fb01e8e6e86ea9e0974abeec33be9d3a3eb36c525f33bde9,MADZUO,PAHNUJ,,,9.511300086975098,6.388999938964844,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,3.122300148010254,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,2d9c6aa2c64e5247380ce19e8b803c6291d596c83475420714f27688f2d03a3d,FORNUW,FOXFAA,,,11.606800079345703,2.0968003273010254,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pd,9.509999752044678,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,37b7b6b1a0cc5d2b1afb1cfbd93499a6a3f763d59f0627c5aa71a7fc27fbb693,VAZWEY,NEFXAY,,,7.971199989318848,2.670399904251098,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,5.300800085067749,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,42a22e223b13ce502f992fa7cb127b1b99039bc674567f891eac7172c6d74aec,CUHXUZ,CUHXOT,,,8.985300064086914,2.4602999687194824,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,6.525000095367432,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,46f4f6d6a8271f8c45a31ccd5fb362a53c06ffee3c328a4d5543b2cfb294740e,SASJOL,KARNIA,,,9.259099960327148,3.184499979019165,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pd,6.074599981307983,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,4f98784d94bc5f2cdc9e490923f796de71f23bbe7e12a1eedf223e36caaef1c7,HEFQIU,HEFQOA,,,6.491300106048584,0.003699779510498,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,6.487600326538086,,,,,,,,,,,,,,,,
B,fingerprint_identifiable_cis_trans_pair,580e24d42deae5fe8c1bb8cd0c113166609b23998b04b416f6692b5030fea932,KIXMIO,FENWEB,,,2.468899965286255,0.0794000625610351,D,coordstatepairs-cartesian-complete-radius-postprocessing-v2,Pt,2.38949990272522,,,,,,,,,,,,,,,,
