panel,series,category,value,unit,note
A,field retained,metal + CN,1,binary,L0 State
A,field retained,metal + CN,1,binary,L1 ShapeID
A,field retained,metal + CN,1,binary,L2 TopoID
A,field retained,metal + CN,1,binary,L3 ConnID*
A,field retained,ligand payload,1,binary,L0 State
A,field retained,ligand payload,1,binary,L1 ShapeID
A,field retained,ligand payload,1,binary,L2 TopoID
A,field retained,ligand payload,1,binary,L3 ConnID*
A,field retained,oxidation state,1,binary,L0 State
A,field retained,oxidation state,1,binary,L1 ShapeID
A,field retained,oxidation state,0,binary,L2 TopoID
A,field retained,oxidation state,0,binary,L3 ConnID*
A,field retained,d-electron count,1,binary,L0 State
A,field retained,d-electron count,0,binary,L1 ShapeID
A,field retained,d-electron count,0,binary,L2 TopoID
A,field retained,d-electron count,0,binary,L3 ConnID*
A,field retained,best-shape label,1,binary,L0 State
A,field retained,best-shape label,1,binary,L1 ShapeID
A,field retained,best-shape label,1,binary,L2 TopoID
A,field retained,best-shape label,0,binary,L3 ConnID*
A,field retained,shape / ΔS bins + boundary,1,binary,L0 State
A,field retained,shape / ΔS bins + boundary,1,binary,L1 ShapeID
A,field retained,shape / ΔS bins + boundary,0,binary,L2 TopoID
A,field retained,shape / ΔS bins + boundary,0,binary,L3 ConnID*
A,field retained,cis / trans / fac–mer signature,1,binary,L0 State
A,field retained,cis / trans / fac–mer signature,1,binary,L1 ShapeID
A,field retained,cis / trans / fac–mer signature,0,binary,L2 TopoID
A,field retained,cis / trans / fac–mer signature,0,binary,L3 ConnID*
A,field retained,serialized CShM + donor-site map,1,binary,L0 State
A,field retained,serialized CShM + donor-site map,0,binary,L1 ShapeID
A,field retained,serialized CShM + donor-site map,0,binary,L2 TopoID
A,field retained,serialized CShM + donor-site map,0,binary,L3 ConnID*
B,mean pairwise agreement,L0,11.269240969344349,percent,3491 base-refcode families
B,mean pairwise agreement,L1,83.48603147935867,percent,3491 base-refcode families
B,mean pairwise agreement,L2,96.59930509710813,percent,3491 base-refcode families
B,mean pairwise agreement,L3,97.34216769617237,percent,3491 base-refcode families
B,complete concordance,L0,10.22629619020338,percent,357/3491
B,complete concordance,L1,81.23746777427671,percent,2836/3491
B,complete concordance,L2,95.96104268118017,percent,3350/3491
B,complete concordance,L3,96.76310512747064,percent,3378/3491
B,rc3 frozen-family cohort,families,3491,families,Membership exactly unchanged from the frozen rc2-selected cohort
B,rc3 frozen-family cohort,records,9056,records,Membership exactly unchanged from the frozen rc2-selected cohort
B,frozen selection denominator,strict molecular tier,101878,records,rc2 selection denominator retained for cohort provenance
B,frozen selection denominator,connectivity-supported tier,84453,records,rc2 selection denominator retained for cohort provenance
B,rc3 end-to-end eligibility,strict molecular tier,101794,records,April 2025 CSD rerun with CoordRep 1.1.2rc3
B,rc3 end-to-end eligibility,connectivity-supported tier,84449,records,April 2025 CSD rerun with CoordRep 1.1.2rc3
C,XEYVEC,XEYVEC,6.918371232079441,S(Td),Td; yellow C2/c
C,XEYVEC,XEYVEC,11.764741731531132,S(SP),Td; yellow C2/c
C,XEYVEC,XEYVEC01,11.843055979522822,S(Td),SP; green P-1
C,XEYVEC,XEYVEC01,6.823632197892317,S(SP),SP; green P-1
C,XEYVEC,XEYVEC02,7.419001472909977,S(Td),Td; yellow C2/c
C,XEYVEC,XEYVEC02,11.144443516074775,S(SP),Td; yellow C2/c
C,XEYVEC,XEYVEC03,11.84788137862971,S(Td),SP; green P-1
C,XEYVEC,XEYVEC03,6.819712325307487,S(SP),SP; green P-1
