model,subset,target,metric,value,ci95_low,ci95_high,n_graph_clusters,n_pairs,n_seeds,n_folds,bootstrap_replicates,interval_scope
schnet_3d,CONTEXT_EXACT,dipole_moment,pair_delta_mae,1.0152629339845272,0.7924125668446981,1.2801294437774666,49,65,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,CONTEXT_EXACT,dipole_moment,pair_concordance_ties_half,0.9591836734693877,0.9251700680272108,0.9863945578231291,49,65,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,CONTEXT_EXACT,dipole_moment,pair_tie_fraction,0.0,0.0,0.0,49,65,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,CONTEXT_EXACT,hl_gap_ev,pair_delta_mae,0.2646585342611667,0.2063723125340869,0.3397711170596643,65,102,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,CONTEXT_EXACT,hl_gap_ev,pair_concordance_ties_half,0.5961660561660562,0.5260067155067155,0.6652283272283269,65,102,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,CONTEXT_EXACT,hl_gap_ev,pair_tie_fraction,0.0,0.0,0.0,65,102,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,G0,dipole_moment,pair_delta_mae,0.943896779873961,0.8555330247338917,1.0434580074595077,296,433,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,G0,dipole_moment,pair_concordance_ties_half,0.975481162981163,0.9619676494676495,0.9867424242424244,296,433,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,G0,dipole_moment,pair_tie_fraction,0.0,0.0,0.0,296,433,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,G0,hl_gap_ev,pair_delta_mae,0.25822908157706564,0.23233485256279093,0.287427823451869,283,419,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,G0,hl_gap_ev,pair_concordance_ties_half,0.614381064557743,0.576874544281788,0.6503282573335577,283,419,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,G0,hl_gap_ev,pair_tie_fraction,0.0,0.0,0.0,283,419,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S1,dipole_moment,pair_delta_mae,0.9570591696773173,0.8549264524477381,1.071937446214896,251,355,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S1,dipole_moment,pair_concordance_ties_half,0.971749366171677,0.9561149342025836,0.9853917662682602,251,355,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S1,dipole_moment,pair_tie_fraction,0.0,0.0,0.0,251,355,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S1,hl_gap_ev,pair_delta_mae,0.2605877391832663,0.23189625507687253,0.29359241034021727,242,353,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S1,hl_gap_ev,pair_concordance_ties_half,0.6018037518037518,0.5626618457300275,0.6406190968122786,242,353,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S1,hl_gap_ev,pair_tie_fraction,0.0,0.0,0.0,242,353,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S2,dipole_moment,pair_delta_mae,0.9194850694532807,0.7903131972792,1.0633473870487444,118,160,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S2,dipole_moment,pair_concordance_ties_half,0.956497175141243,0.9271186440677966,0.980225988700565,118,160,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S2,dipole_moment,pair_tie_fraction,0.0,0.0,0.0,118,160,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S2,hl_gap_ev,pair_delta_mae,0.23373349513301828,0.20167510538235398,0.27301966468563865,138,197,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S2,hl_gap_ev,pair_concordance_ties_half,0.6141591902461467,0.5628019323671497,0.6650002875546351,138,197,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S2,hl_gap_ev,pair_tie_fraction,0.0,0.0,0.0,138,197,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S3,dipole_moment,pair_delta_mae,0.9534128482010629,0.7191222564828895,1.2444887997130218,32,45,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S3,dipole_moment,pair_concordance_ties_half,0.9583333333333333,0.9166666666666666,0.9895833333333333,32,45,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S3,dipole_moment,pair_tie_fraction,0.0,0.0,0.0,32,45,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S3,hl_gap_ev,pair_delta_mae,0.3185274266112557,0.21853520693712333,0.4522226868930661,34,66,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S3,hl_gap_ev,pair_concordance_ties_half,0.6005135387488328,0.5137254901960785,0.6860469187675065,34,66,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
schnet_3d,S3,hl_gap_ev,pair_tie_fraction,0.0,0.0,0.0,34,66,3,5,20000,"graph-group cluster bootstrap over the selected OOF folds, conditional on the fixed trained seeds"
