model,fold,seed,target,n_test,mae,rmse,r2,spearman,best_epoch,parameters
visnet_3d,0,11,dipole_moment,9573,0.691828178136585,1.4358557895672146,0.8822483578235886,0.9652462721498606,60,282882
visnet_3d,0,11,hl_gap_ev,9573,0.2903450890841634,0.4249891092093314,0.7833447524855285,0.893079616238734,60,282882
visnet_3d,0,22,dipole_moment,9573,0.7459791976307473,1.5388991509007401,0.8647411641198898,0.9595190514148396,41,282882
visnet_3d,0,22,hl_gap_ev,9573,0.29500010675314536,0.41903850387883695,0.7893693968092741,0.8925357308415652,41,282882
visnet_3d,0,33,dipole_moment,9573,0.7023331539690414,1.4540048728301596,0.8792528054187873,0.9652838734890014,54,282882
visnet_3d,0,33,hl_gap_ev,9573,0.29539606620510034,0.42181513014157523,0.7865687944968957,0.8917978780966891,54,282882
visnet_3d,1,11,dipole_moment,9706,0.7244673986521402,1.1166051238627914,0.924859198396955,0.9614041390430669,44,282882
visnet_3d,1,11,hl_gap_ev,9706,0.29173976582103284,0.41228112396039956,0.8021954865493798,0.897181062517667,44,282882
visnet_3d,1,22,dipole_moment,9706,0.710239816149215,1.0922370103439802,0.9281030664315164,0.9617040964962802,50,282882
visnet_3d,1,22,hl_gap_ev,9706,0.29105060737500993,0.41349759393037233,0.8010264869224017,0.8959659672238628,50,282882
visnet_3d,1,33,dipole_moment,9706,0.6973188489878175,1.061128213181278,0.9321402407805427,0.9630042981757944,53,282882
visnet_3d,1,33,hl_gap_ev,9706,0.28848483748910553,0.40995944595193473,0.8044170063233932,0.9011190908330537,53,282882
visnet_3d,2,11,dipole_moment,9631,0.7087327615084176,1.3818566250633326,0.8919213720232411,0.9625907635397567,59,282882
visnet_3d,2,11,hl_gap_ev,9631,0.2912944313051693,0.42315515299568895,0.7925021223882753,0.8971235196784592,59,282882
visnet_3d,2,22,dipole_moment,9631,0.7167662281000333,1.3878470435733683,0.8909822882772087,0.9625250238711898,51,282882
visnet_3d,2,22,hl_gap_ev,9631,0.2898560626869966,0.41642121163152085,0.79905367036347,0.8984238078905307,51,282882
visnet_3d,2,33,dipole_moment,9631,0.7015030955664281,1.3610879514745298,0.8951457032252035,0.9651819966329271,55,282882
visnet_3d,2,33,hl_gap_ev,9631,0.2901522757640423,0.421259199994235,0.7943573515628937,0.8971802799441521,55,282882
visnet_3d,3,11,dipole_moment,9576,0.7353631264484217,1.1450945864352453,0.9211923815697762,0.9599312154625155,42,282882
visnet_3d,3,11,hl_gap_ev,9576,0.2967703668346182,0.4184014060402511,0.7956744245922727,0.8950971408331477,42,282882
visnet_3d,3,22,dipole_moment,9576,0.7305708975222276,1.1455235158228518,0.9211333310164748,0.9600670966640247,40,282882
visnet_3d,3,22,hl_gap_ev,9576,0.2977211952657628,0.4190684378531133,0.7950224177025063,0.8983815215240822,40,282882
visnet_3d,3,33,dipole_moment,9576,0.7139486747676368,1.1062499841697222,0.9264484151186564,0.9624155720363647,49,282882
visnet_3d,3,33,hl_gap_ev,9576,0.2879098462455952,0.41339314349065026,0.8005367007143076,0.9014118325616788,49,282882
visnet_3d,4,11,dipole_moment,9571,0.7404194848189445,1.2198341652090714,0.9155069074142215,0.9599297143020629,41,282882
visnet_3d,4,11,hl_gap_ev,9571,0.29528556586482685,0.41877219308272245,0.7937966908769177,0.8926573033267935,41,282882
visnet_3d,4,22,dipole_moment,9571,0.720935406598685,1.186805851851292,0.9200204459060554,0.9634392554024261,56,282882
visnet_3d,4,22,hl_gap_ev,9571,0.29165919412952296,0.4245350023709292,0.7880824306898182,0.8937859212095852,56,282882
visnet_3d,4,33,dipole_moment,9571,0.7045180123000044,1.1612447617688268,0.9234284997331158,0.9652882553130998,50,282882
visnet_3d,4,33,hl_gap_ev,9571,0.28961443196094316,0.41664684342218494,0.7958844227184069,0.8985170105706086,50,282882
