subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
CONTEXT_EXACT,visnet_3d,0,11,dipole_moment,11,12,23,2.5607166666666665,0.6235069467862449,1.0,0.0
CONTEXT_EXACT,visnet_3d,0,11,hl_gap_ev,10,24,26,0.19009420908341665,0.21594135989479324,0.2916666666666667,0.0
CONTEXT_EXACT,visnet_3d,0,22,dipole_moment,11,12,23,2.5607166666666665,0.5278753115971883,1.0,0.0
CONTEXT_EXACT,visnet_3d,0,22,hl_gap_ev,10,24,26,0.19009420908341665,0.17797740858203048,0.875,0.0
CONTEXT_EXACT,visnet_3d,0,33,dipole_moment,11,12,23,2.5607166666666665,0.5491961932182313,1.0,0.0
CONTEXT_EXACT,visnet_3d,0,33,hl_gap_ev,10,24,26,0.19009420908341665,0.19318494873746686,0.4583333333333333,0.0
CONTEXT_EXACT,visnet_3d,1,11,dipole_moment,12,21,30,2.334757142857143,0.9703160310291106,1.0,0.0
CONTEXT_EXACT,visnet_3d,1,11,hl_gap_ev,17,30,45,0.27761963294366665,0.3287133702280092,0.3,0.0
CONTEXT_EXACT,visnet_3d,1,22,dipole_moment,12,21,30,2.334757142857143,0.7429179988861084,0.9523809523809523,0.0
CONTEXT_EXACT,visnet_3d,1,22,hl_gap_ev,17,30,45,0.27761963294366665,0.2530299368532822,0.6666666666666666,0.0
CONTEXT_EXACT,visnet_3d,1,33,dipole_moment,12,21,30,2.334757142857143,0.7765467026120141,0.9523809523809523,0.0
CONTEXT_EXACT,visnet_3d,1,33,hl_gap_ev,17,30,45,0.27761963294366665,0.3154862428621208,0.3,0.0
CONTEXT_EXACT,visnet_3d,2,11,dipole_moment,9,14,23,2.3384714285714283,0.28343337116241446,1.0,0.0
CONTEXT_EXACT,visnet_3d,2,11,hl_gap_ev,11,17,26,0.1946414451477647,0.1424687147701027,0.5882352941176471,0.0
CONTEXT_EXACT,visnet_3d,2,22,dipole_moment,9,14,23,2.3384714285714283,0.3071076013837543,1.0,0.0
CONTEXT_EXACT,visnet_3d,2,22,hl_gap_ev,11,17,26,0.1946414451477647,0.16473775375468916,0.6470588235294118,0.0
CONTEXT_EXACT,visnet_3d,2,33,dipole_moment,9,14,23,2.3384714285714283,0.27952922355106885,1.0,0.0
CONTEXT_EXACT,visnet_3d,2,33,hl_gap_ev,11,17,26,0.1946414451477647,0.21820126094092818,0.7058823529411765,0.0
CONTEXT_EXACT,visnet_3d,3,11,dipole_moment,7,7,14,3.3480571428571433,1.0822059781210769,1.0,0.0
CONTEXT_EXACT,visnet_3d,3,11,hl_gap_ev,12,13,25,0.4062450648170769,0.33431825851866875,0.38461538461538464,0.0
CONTEXT_EXACT,visnet_3d,3,22,dipole_moment,7,7,14,3.3480571428571433,0.8960670757293705,1.0,0.0
CONTEXT_EXACT,visnet_3d,3,22,hl_gap_ev,12,13,25,0.4062450648170769,0.39568915558691803,0.46153846153846156,0.0
CONTEXT_EXACT,visnet_3d,3,33,dipole_moment,7,7,14,3.3480571428571433,0.9518862074170799,1.0,0.0
CONTEXT_EXACT,visnet_3d,3,33,hl_gap_ev,12,13,25,0.4062450648170769,0.37147734218326384,0.46153846153846156,0.0
CONTEXT_EXACT,visnet_3d,4,11,dipole_moment,10,11,21,2.5486727272727276,0.724073876987804,1.0,0.0
CONTEXT_EXACT,visnet_3d,4,11,hl_gap_ev,15,18,34,0.23425980070444444,0.19793520323835254,0.6111111111111112,0.0
CONTEXT_EXACT,visnet_3d,4,22,dipole_moment,10,11,21,2.5486727272727276,0.8897521003029564,0.9090909090909091,0.0
CONTEXT_EXACT,visnet_3d,4,22,hl_gap_ev,15,18,34,0.23425980070444444,0.2837349745641409,0.5,0.0
CONTEXT_EXACT,visnet_3d,4,33,dipole_moment,10,11,21,2.5486727272727276,0.8729550064780494,1.0,0.0
CONTEXT_EXACT,visnet_3d,4,33,hl_gap_ev,15,18,34,0.23425980070444444,0.2783419584625498,0.5,0.0
G0,visnet_3d,0,11,dipole_moment,61,97,144,3.912979381443299,0.9301386257092975,1.0,0.0
G0,visnet_3d,0,11,hl_gap_ev,57,101,136,0.22635832061675246,0.2661618516442277,0.42574257425742573,0.0
G0,visnet_3d,0,22,dipole_moment,61,97,144,3.912979381443299,1.1037672376180427,0.9690721649484536,0.0
G0,visnet_3d,0,22,hl_gap_ev,57,101,136,0.22635832061675246,0.27013690405279417,0.6138613861386139,0.0
G0,visnet_3d,0,33,dipole_moment,61,97,144,3.912979381443299,0.5384123998150384,0.979381443298969,0.0
